payment_id,customer_id,amount,currency,failure_reason,failure_message,attempt_count,customer_success_rate,previous_payments,subscription_status,days_since_failure,previous_recovery_attempts,payment_already_succeeded,ground_truth_action,ground_truth_recoverable,simulated_outcome
P0011,C1893,1999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.97,8,NONE,0.59,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0012,C1021,1999.0,INR,PAYMENT_TIMEOUT,Payment session timed out before completion,0,0.97,28,PAST_DUE,0.4,0,False,RETRY_PAYMENT,True,SUCCESS
P0013,C1903,1999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.82,15,NONE,0.56,1,False,RETRY_PAYMENT,True,SUCCESS
P0014,C1100,1499.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,1,1.0,3,NONE,3.27,1,False,WAIT_AND_RETRY,True,SUCCESS
P0015,C1876,499.0,INR,EXPIRED_CARD,Card expired,0,0.55,17,NONE,0.01,0,True,MARK_UNRECOVERABLE,False,N/A
P0016,C1885,3999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.92,10,NONE,0.01,0,False,RETRY_PAYMENT,True,FAIL
P0017,C1555,1999.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,2,0.92,31,NONE,1.65,0,False,ESCALATE_TO_HUMAN,False,N/A
P0018,C1691,1999.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,1,0.95,5,ACTIVE,2.54,1,False,CREATE_PAYMENT_LINK,True,FAIL
P0019,C1134,8999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.94,20,PAST_DUE,4.63,0,False,WAIT_AND_RETRY,True,SUCCESS
P0020,C1955,11999.0,INR,SUSPECTED_FRAUD,Issuer declined: suspected fraud,0,0.81,34,NONE,0.06,0,False,ESCALATE_TO_HUMAN,False,N/A
P0021,C1954,8999.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,1,0.5,0,NONE,0.18,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0022,C1929,999.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.74,13,NONE,0.05,1,False,WAIT_AND_RETRY,True,SUCCESS
P0023,C1009,12999.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.58,28,NONE,0.06,0,False,ESCALATE_TO_HUMAN,False,N/A
P0024,C1995,1999.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.81,9,NONE,1.77,0,False,RETRY_PAYMENT,True,FAIL
P0025,C1830,499.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,1,0.87,15,CANCELLED,2.43,0,False,MARK_UNRECOVERABLE,False,N/A
P0026,C1481,3999.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.98,17,ACTIVE,0.56,0,False,RETRY_PAYMENT,True,FAIL
P0027,C1990,599.0,INR,BANK_ERROR,Bank system unavailable (5xx),0,1.0,25,NONE,2.11,0,False,RETRY_PAYMENT,True,SUCCESS
P0028,C1353,799.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,0.47,11,PAST_DUE,3.13,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0029,C1638,1999.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,0,0.64,12,PAST_DUE,0.05,0,False,RETRY_PAYMENT,True,SUCCESS
P0030,C1630,499.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.54,12,NONE,3.06,0,False,WAIT_AND_RETRY,True,SUCCESS
P0031,C1812,7999.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,1.0,28,PAST_DUE,0.05,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0032,C1625,799.0,INR,CARD_BLOCKED,Card blocked by issuer,0,0.88,14,NONE,4.83,0,False,ESCALATE_TO_HUMAN,False,N/A
P0033,C1797,599.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,0,0.77,9,ACTIVE,0.44,2,False,ESCALATE_TO_HUMAN,False,N/A
P0034,C1324,299.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.96,29,NONE,6.79,1,False,RETRY_PAYMENT,True,SUCCESS
P0035,C1496,599.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.97,40,PAST_DUE,0.98,0,False,RETRY_PAYMENT,True,SUCCESS
P0036,C1338,499.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,0.79,14,ACTIVE,2.47,1,False,RETRY_PAYMENT,True,FAIL
P0037,C1771,1299.0,INR,CARD_BLOCKED,Do-not-honour response from issuer,0,0.91,30,NONE,3.05,0,False,ESCALATE_TO_HUMAN,False,N/A
P0038,C1741,799.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,1,0.7,27,PAST_DUE,5.84,2,False,ESCALATE_TO_HUMAN,False,N/A
P0039,C1472,2499.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.86,5,ACTIVE,0.01,0,False,RETRY_PAYMENT,True,SUCCESS
P0040,C1974,1299.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,1,0.94,16,ACTIVE,0.53,1,False,RETRY_PAYMENT,True,FAIL
P0041,C1577,199.0,INR,CARD_BLOCKED,Card blocked by issuer,0,0.7,39,ACTIVE,5.4,1,False,ESCALATE_TO_HUMAN,False,N/A
P0042,C1042,2499.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.88,8,NONE,0.02,0,False,RETRY_PAYMENT,True,SUCCESS
P0043,C1438,299.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,1,0.83,36,NONE,0.05,0,False,RETRY_PAYMENT,True,FAIL
P0044,C1827,49999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,2,0.63,9,NONE,4.87,0,False,ESCALATE_TO_HUMAN,False,N/A
P0045,C1583,2999.0,INR,CHECKOUT_ABANDONED,Checkout closed at payment step,1,0.95,17,PAST_DUE,1.62,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0046,C1500,799.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,1.0,35,NONE,5.29,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0047,C1352,4999.0,INR,BANK_ERROR,Bank system unavailable (5xx),0,0.87,37,NONE,6.53,0,False,RETRY_PAYMENT,True,SUCCESS
P0048,C1283,299.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,1.0,34,NONE,0.06,0,False,RETRY_PAYMENT,True,SUCCESS
P0049,C1129,199.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,0,0.78,3,NONE,0.06,0,False,RETRY_PAYMENT,True,SUCCESS
P0050,C1054,1499.0,INR,BANK_ERROR,Issuer returned a temporary processing error,0,0.92,7,NONE,0.22,1,False,RETRY_PAYMENT,True,SUCCESS
P0051,C1304,599.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.71,33,NONE,1.03,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0052,C1705,4999.0,INR,REPEATED_FAILURE,Card declined repeatedly by issuer,2,0.9,5,PAST_DUE,0.81,0,False,ESCALATE_TO_HUMAN,False,N/A
P0053,C1677,599.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,1,0.93,16,NONE,2.54,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0054,C1716,799.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.85,38,PAST_DUE,1.0,0,False,RETRY_PAYMENT,True,SUCCESS
P0055,C1856,799.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.66,1,NONE,1.03,1,False,WAIT_AND_RETRY,True,FAIL
P0056,C1328,1299.0,INR,EXPIRED_CARD,Card expired,0,1.0,40,NONE,0.19,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0057,C1413,999.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.49,16,NONE,6.89,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0058,C1029,799.0,INR,EXPIRED_CARD,Card expired,1,0.93,35,NONE,0.18,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0059,C1521,299.0,INR,CHECKOUT_ABANDONED,Checkout closed at payment step,0,0.94,9,NONE,3.4,2,False,ESCALATE_TO_HUMAN,False,N/A
P0060,C1956,1999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,1,0.93,8,NONE,0.01,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0061,C1466,999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.76,21,NONE,0.6,0,False,RETRY_PAYMENT,True,FAIL
P0062,C1507,1499.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,1,0.68,24,NONE,0.2,0,False,WAIT_AND_RETRY,True,FAIL
P0063,C1670,1499.0,INR,EXPIRED_CARD,Card expired,1,0.5,0,NONE,0.05,2,False,ESCALATE_TO_HUMAN,False,N/A
P0064,C1735,5999.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,0,1.0,34,NONE,5.7,0,False,RETRY_PAYMENT,True,FAIL
P0065,C1925,6999.0,INR,SUSPECTED_FRAUD,Transaction flagged by risk engine,0,0.87,6,PAST_DUE,0.01,0,False,ESCALATE_TO_HUMAN,False,N/A
P0066,C1080,1299.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.62,36,ACTIVE,0.5,0,False,WAIT_AND_RETRY,True,FAIL
P0067,C1601,7999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.81,18,NONE,3.23,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0068,C1022,999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.77,36,NONE,0.8,1,False,RETRY_PAYMENT,True,FAIL
P0069,C1694,4999.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.74,14,PAST_DUE,0.06,0,False,RETRY_PAYMENT,True,SUCCESS
P0070,C1205,2999.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.76,18,NONE,8.05,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0071,C1144,49999.0,INR,BANK_ERROR,Issuer returned a temporary processing error,0,0.85,18,NONE,3.56,1,False,ESCALATE_TO_HUMAN,False,N/A
P0072,C1688,1999.0,INR,CHECKOUT_ABANDONED,Checkout closed at payment step,0,0.71,7,NONE,3.39,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0073,C1309,19999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,1,0.86,39,NONE,0.04,1,False,ESCALATE_TO_HUMAN,False,N/A
P0074,C1972,1999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.9,8,NONE,0.23,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0075,C1376,3999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,0,0.75,28,NONE,0.01,0,False,WAIT_AND_RETRY,True,FAIL
P0076,C1805,2499.0,INR,EXPIRED_CARD,Card expired,1,0.89,3,ACTIVE,0.06,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0077,C1178,2499.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,2,0.9,17,NONE,0.01,0,False,ESCALATE_TO_HUMAN,False,N/A
P0078,C1116,799.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.78,3,NONE,4.9,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0079,C1411,8999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.48,19,NONE,0.05,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0080,C1332,799.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.95,39,NONE,6.43,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0081,C1408,8999.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,0,0.57,13,NONE,0.05,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0082,C1381,299.0,INR,EXPIRED_CARD,Card expired,0,0.98,5,NONE,5.77,2,False,ESCALATE_TO_HUMAN,False,N/A
P0083,C1217,1299.0,INR,PAYMENT_TIMEOUT,Payment session timed out before completion,0,1.0,3,NONE,4.45,0,False,RETRY_PAYMENT,True,SUCCESS
P0084,C1628,1299.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,3,0.81,35,NONE,0.81,0,False,ESCALATE_TO_HUMAN,False,N/A
P0085,C1031,499.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.71,9,PAST_DUE,6.2,0,False,RETRY_PAYMENT,True,SUCCESS
P0086,C1050,2999.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,2,0.79,3,NONE,0.98,0,False,ESCALATE_TO_HUMAN,False,N/A
P0087,C1539,1999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.81,7,NONE,0.01,2,False,ESCALATE_TO_HUMAN,False,N/A
P0088,C1764,12999.0,INR,BANK_ERROR,Bank system unavailable (5xx),0,0.91,16,PAST_DUE,0.17,0,False,ESCALATE_TO_HUMAN,False,N/A
P0089,C1079,5999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.65,4,NONE,3.09,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0090,C1249,1499.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,1.0,23,NONE,3.03,0,False,RETRY_PAYMENT,True,SUCCESS
P0091,C1744,1999.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,2,0.99,40,NONE,0.42,0,False,ESCALATE_TO_HUMAN,False,N/A
P0092,C1475,2999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,2,0.97,11,NONE,2.29,0,False,ESCALATE_TO_HUMAN,False,N/A
P0093,C1038,799.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.73,17,NONE,2.27,0,False,RETRY_PAYMENT,True,FAIL
P0094,C1917,1499.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.77,37,NONE,5.82,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0095,C1449,999.0,INR,CARD_BLOCKED,Card blocked by issuer,0,0.76,5,NONE,1.9,0,False,ESCALATE_TO_HUMAN,False,N/A
P0096,C1395,5999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,0,0.85,4,NONE,1.09,0,False,WAIT_AND_RETRY,True,FAIL
P0097,C1317,3499.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,1,0.77,22,ACTIVE,2.25,0,False,WAIT_AND_RETRY,True,FAIL
P0098,C1184,1299.0,INR,PAYMENT_TIMEOUT,Payment session timed out before completion,0,1.0,32,NONE,2.36,0,False,RETRY_PAYMENT,True,SUCCESS
P0099,C1099,12999.0,INR,REPEATED_FAILURE,Card declined repeatedly by issuer,2,0.61,13,NONE,1.0,1,False,ESCALATE_TO_HUMAN,False,N/A
P0100,C1992,2499.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,0.57,26,PAST_DUE,1.1,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0101,C1796,3999.0,INR,CARD_BLOCKED,Do-not-honour response from issuer,0,0.77,23,NONE,7.08,2,False,ESCALATE_TO_HUMAN,False,N/A
P0102,C1567,799.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.67,3,NONE,7.98,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0103,C1382,599.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,1.0,28,NONE,3.59,0,False,RETRY_PAYMENT,True,FAIL
P0104,C1483,3499.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.62,8,NONE,4.9,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0105,C1654,8999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.94,27,PAST_DUE,0.04,1,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0106,C1246,499.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.93,18,NONE,0.21,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0107,C1382,1999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,1.0,35,NONE,0.01,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0108,C1658,3499.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,0.89,2,NONE,5.96,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0109,C1317,9999.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,1,0.93,18,NONE,6.93,0,False,RETRY_PAYMENT,True,SUCCESS
P0110,C1910,999.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,1.0,17,ACTIVE,5.79,0,False,RETRY_PAYMENT,True,SUCCESS
P0111,C1558,15999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.84,5,NONE,1.68,0,False,ESCALATE_TO_HUMAN,False,N/A
P0112,C1629,3499.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.79,28,PAST_DUE,1.06,1,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0113,C1241,3499.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,1,0.98,1,ACTIVE,1.91,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0114,C1285,3499.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,1.0,33,NONE,0.04,0,False,WAIT_AND_RETRY,True,FAIL
P0115,C1125,7999.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,2,0.97,13,NONE,0.05,1,False,ESCALATE_TO_HUMAN,False,N/A
P0116,C1297,5999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,1,0.85,22,NONE,0.22,1,False,RETRY_PAYMENT,True,FAIL
P0117,C1117,1999.0,INR,BANK_ERROR,Bank system unavailable (5xx),1,0.79,6,NONE,0.1,1,False,RETRY_PAYMENT,True,FAIL
P0118,C1460,299.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,3,1.0,8,NONE,6.56,1,False,ESCALATE_TO_HUMAN,False,N/A
P0119,C1311,499.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,1,0.55,27,NONE,0.19,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0120,C1546,1999.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.84,17,NONE,7.39,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0121,C1789,19999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,1.0,36,NONE,0.55,0,False,ESCALATE_TO_HUMAN,False,N/A
P0122,C1701,4999.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.93,19,NONE,0.98,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0123,C1408,499.0,INR,EXPIRED_CARD,Card expired,3,0.93,20,NONE,2.01,0,False,ESCALATE_TO_HUMAN,False,N/A
P0124,C1884,499.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,0.75,6,NONE,0.59,1,False,RETRY_PAYMENT,True,FAIL
P0125,C1092,499.0,INR,REPEATED_FAILURE,Card declined repeatedly by issuer,2,1.0,31,NONE,6.88,0,False,ESCALATE_TO_HUMAN,False,N/A
P0126,C1441,1499.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.85,18,NONE,1.09,1,False,RETRY_PAYMENT,True,SUCCESS
P0127,C1638,1999.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,1,1.0,18,NONE,0.24,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0128,C1046,3999.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.93,38,PAST_DUE,0.22,1,False,RETRY_PAYMENT,True,SUCCESS
P0129,C1519,999.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,1,0.69,10,PAST_DUE,0.99,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0130,C1801,199.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.98,38,NONE,0.01,0,False,WAIT_AND_RETRY,True,FAIL
P0131,C1428,599.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.64,2,NONE,3.23,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0132,C1678,499.0,INR,REPEATED_FAILURE,Card declined repeatedly by issuer,2,0.75,33,NONE,6.66,2,False,ESCALATE_TO_HUMAN,False,N/A
P0133,C1964,799.0,INR,EXPIRED_CARD,Saved card has passed its expiry date,0,0.48,39,NONE,1.08,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0134,C1917,4999.0,INR,SUBSCRIPTION_FAILURE,Auto-debit for subscription cycle declined,0,0.89,7,PAST_DUE,2.36,1,False,RETRY_PAYMENT,True,SUCCESS
P0135,C1575,1499.0,INR,PAYMENT_TIMEOUT,Customer session expired at gateway,1,0.85,16,NONE,0.17,0,False,RETRY_PAYMENT,True,SUCCESS
P0136,C1483,599.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.75,3,ACTIVE,0.16,0,False,RETRY_PAYMENT,True,SUCCESS
P0137,C1787,7999.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.85,12,ACTIVE,0.51,0,False,RETRY_PAYMENT,True,FAIL
P0138,C1507,12999.0,INR,BANK_ERROR,Issuer returned a temporary processing error,3,0.73,2,NONE,1.15,0,False,ESCALATE_TO_HUMAN,False,N/A
P0139,C1871,15999.0,INR,BANK_TIMEOUT,Gateway timeout while contacting issuer,0,1.0,29,NONE,0.88,0,False,ESCALATE_TO_HUMAN,False,N/A
P0140,C1581,499.0,INR,EXPIRED_CARD,Card expired,1,0.5,0,NONE,0.21,0,False,CREATE_PAYMENT_LINK,True,EXPIRED
P0141,C1392,499.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,0.84,30,PAST_DUE,5.51,2,False,ESCALATE_TO_HUMAN,False,N/A
P0142,C1514,999.0,INR,REPEATED_FAILURE,Card declined repeatedly by issuer,2,0.92,15,NONE,0.05,1,False,ESCALATE_TO_HUMAN,False,N/A
P0143,C1382,49999.0,INR,BANK_ERROR,Bank system unavailable (5xx),0,0.88,9,NONE,8.16,0,False,ESCALATE_TO_HUMAN,False,N/A
P0144,C1063,2999.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.63,33,NONE,6.02,0,False,CREATE_PAYMENT_LINK,True,SUCCESS
P0145,C1525,2999.0,INR,BANK_ERROR,Bank system unavailable (5xx),0,0.93,32,ACTIVE,5.13,0,False,RETRY_PAYMENT,True,SUCCESS
P0146,C1957,199.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,0.81,13,ACTIVE,4.06,0,False,RETRY_PAYMENT,True,FAIL
P0147,C1890,6999.0,INR,SUSPECTED_FRAUD,Issuer declined: suspected fraud,3,0.83,23,NONE,2.5,2,False,ESCALATE_TO_HUMAN,False,N/A
P0148,C1854,2999.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,1.0,11,NONE,0.01,0,False,RETRY_PAYMENT,True,SUCCESS
P0149,C1032,1499.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,0,0.84,22,ACTIVE,0.01,0,False,WAIT_AND_RETRY,True,SUCCESS
P0150,C1057,3999.0,INR,PAYMENT_TIMEOUT,Payment session timed out before completion,0,0.76,2,NONE,8.38,0,False,ESCALATE_TO_HUMAN,False,N/A
P0151,C1423,999.0,INR,AUTH_FAILURE,Customer did not complete OTP verification,0,0.91,15,ACTIVE,0.82,1,False,CREATE_PAYMENT_LINK,True,FAIL
P0152,C1188,999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,0,0.88,24,PAST_DUE,0.57,0,False,WAIT_AND_RETRY,True,FAIL
P0153,C1261,1299.0,INR,SUBSCRIPTION_FAILURE,Recurring mandate debit failed,0,0.72,35,ACTIVE,2.12,1,False,RETRY_PAYMENT,True,SUCCESS
P0154,C1490,799.0,INR,REPEATED_FAILURE,Multiple consecutive failures on this payment,2,0.76,24,ACTIVE,1.84,1,False,ESCALATE_TO_HUMAN,False,N/A
P0155,C1406,7999.0,INR,BANK_ERROR,Issuer returned a temporary processing error,1,0.67,15,NONE,6.5,0,False,RETRY_PAYMENT,True,SUCCESS
P0156,C1936,1499.0,INR,INSUFFICIENT_FUNDS,Insufficient funds in account,0,1.0,29,NONE,1.85,0,False,WAIT_AND_RETRY,True,FAIL
P0157,C1388,1299.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,0,1.0,18,NONE,5.1,1,False,RETRY_PAYMENT,True,SUCCESS
P0158,C1500,7999.0,INR,EXPIRED_CARD,Card expired,0,0.98,29,NONE,8.37,2,False,ESCALATE_TO_HUMAN,False,N/A
P0159,C1236,199.0,INR,CHECKOUT_ABANDONED,Customer left checkout before paying,0,0.5,0,NONE,0.16,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0160,C1012,1499.0,INR,AUTH_FAILURE,3-D Secure / OTP authentication failed,0,1.0,1,NONE,7.62,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0161,C1258,12999.0,INR,INSUFFICIENT_FUNDS,Card declined: insufficient balance,0,1.0,6,NONE,1.12,0,False,ESCALATE_TO_HUMAN,False,N/A
P0162,C1669,599.0,INR,EXPIRED_CARD,Card expired,1,0.76,19,NONE,0.05,0,False,CREATE_PAYMENT_LINK,True,FAIL
P0163,C1235,5999.0,INR,BANK_TIMEOUT,Issuing bank did not respond in time,1,1.0,36,NONE,4.54,1,False,RETRY_PAYMENT,True,SUCCESS
